Año,Estado,Municipio,Localidad,Lugar_Conocido,Estatus
2013,Sinaloa,Mazatlán,Mazatlán,ENTRE LAS 10 Y LAS 16 M.N. AL OESTE DE LA MARINA,Atendido
2013,Sinaloa,Esculnapa,Teacapán,EL QUESO,Atendido
2013,Sinaloa,Guasave,Ei Caracol,EL CARACOL,Atendido
2013,Sinaloa,Esculnapa,Teacapán,ESCUINAPA,Atendido
2013,Sinaloa,Mazatlán,Mazatlán,EMBARCADERO ISLA DELA PIEDRA,Atendido
2013,Sinaloa,Esculnapa,Teacapán,EL QUESOL,Atendido
2013,Sinaioa,Esculnapa,Teacapán,BARRA DE TEACAPAN-LAGUNA AGUA GRANDE,Atendido
2013,Sonora,Caborca,Heroica Caborca,DESEMBOQUE,Atendido
2013,Sonora,Guaymas,San Caiios (San Carlos Nuevo Guavmasi,LA MANGA,Atendido
2013,Sonora,San Ignacio Rio Muerto,San Ignacio Río Muerto,LOS MÉLAGOS,Atendido
2013,Sonora,San Ignacio Rio Muerto,Bahía de Lobos,BAHÍA DE LOBOS,Atendido
2013,Sonora,Huatabampo,Camahuiroa,CAMAHUIROA .,Atendido
2013,Sonora,Huatabampo,Camahuiroa,NULO,Atendido
2013,Sonora,Hermosiiio,El Colorado,"POR LA CALLE ""PRINCIPAL""",Atendido
2013,Sonora,Hermosiiio,Bahía de Kino,KiNO VIEJO,Atendido
2013,Sonora,Huatabampo,Aglabampo Uno,MARINA DE AGIABAMPO,Atendido
2013,Sonora,San Ignacio Rio Muerto,Bahia de Lobos,BAHIA DE LOBOS Y PLAYA LOS MELAGOS,Atendido
2013,Sonora,Empalme,Empalme,BELLAVISTA-EMPALME,Atendido
2013,Sonora,Hermosiiio,Bahía de Kino,KINO VIEJO,Atendido
2013,Sonora,Huatabampo,Huatabampo,REGION DE HUATABAMPO,Atendido
2013,Sonora,San Luis Rio Colorado,Golfo de Santa Clara,"EL GOLFO DE STA, CLARA. SON.",Atendido
2013,Sonora,Etchojoa,Tóbari,BAHf A TOBARI,Atendido
2013,Sonora,Navojoa,Aglabampo,BAHIA DE AGIABAMPO,Atendido
